"rowid","species","island","bill_length_mm","bill_depth_mm","flipper_length_mm","body_mass_g","sex","year"
"186","Gentoo","Biscoe",59.6,17,230,6050,"male",2007
"187","Gentoo","Biscoe",49.1,14.8,220,5150,"female",2008
"188","Gentoo","Biscoe",48.4,16.3,220,5400,"male",2008
"189","Gentoo","Biscoe",42.6,13.7,213,4950,"female",2008
"190","Gentoo","Biscoe",44.4,17.3,219,5250,"male",2008
"191","Gentoo","Biscoe",44,13.6,208,4350,"female",2008
"192","Gentoo","Biscoe",48.7,15.7,208,5350,"male",2008
"193","Gentoo","Biscoe",42.7,13.7,208,3950,"female",2008
"194","Gentoo","Biscoe",49.6,16,225,5700,"male",2008
"195","Gentoo","Biscoe",45.3,13.7,210,4300,"female",2008
"196","Gentoo","Biscoe",49.6,15,216,4750,"male",2008
"197","Gentoo","Biscoe",50.5,15.9,222,5550,"male",2008
"198","Gentoo","Biscoe",43.6,13.9,217,4900,"female",2008
"199","Gentoo","Biscoe",45.5,13.9,210,4200,"female",2008
"200","Gentoo","Biscoe",50.5,15.9,225,5400,"male",2008
"201","Gentoo","Biscoe",44.9,13.3,213,5100,"female",2008
"202","Gentoo","Biscoe",45.2,15.8,215,5300,"male",2008
"277","Chinstrap","Dream",46.5,17.9,192,3500,"female",2007
"278","Chinstrap","Dream",50,19.5,196,3900,"male",2007
"279","Chinstrap","Dream",51.3,19.2,193,3650,"male",2007
"280","Chinstrap","Dream",45.4,18.7,188,3525,"female",2007
"281","Chinstrap","Dream",52.7,19.8,197,3725,"male",2007
"282","Chinstrap","Dream",45.2,17.8,198,3950,"female",2007
"283","Chinstrap","Dream",46.1,18.2,178,3250,"female",2007
"284","Chinstrap","Dream",51.3,18.2,197,3750,"male",2007
"285","Chinstrap","Dream",46,18.9,195,4150,"female",2007
"286","Chinstrap","Dream",51.3,19.9,198,3700,"male",2007
"287","Chinstrap","Dream",46.6,17.8,193,3800,"female",2007
"288","Chinstrap","Dream",51.7,20.3,194,3775,"male",2007
"289","Chinstrap","Dream",47,17.3,185,3700,"female",2007
"290","Chinstrap","Dream",52,18.1,201,4050,"male",2007
"291","Chinstrap","Dream",45.9,17.1,190,3575,"female",2007
"292","Chinstrap","Dream",50.5,19.6,201,4050,"male",2007
"293","Chinstrap","Dream",50.3,20,197,3300,"male",2007
"294","Chinstrap","Dream",58,17.8,181,3700,"female",2007
"295","Chinstrap","Dream",46.4,18.6,190,3450,"female",2007
"296","Chinstrap","Dream",49.2,18.2,195,4400,"male",2007
"297","Chinstrap","Dream",42.4,17.3,181,3600,"female",2007
"298","Chinstrap","Dream",48.5,17.5,191,3400,"male",2007
"299","Chinstrap","Dream",43.2,16.6,187,2900,"female",2007
"300","Chinstrap","Dream",50.6,19.4,193,3800,"male",2007
"301","Chinstrap","Dream",46.7,17.9,195,3300,"female",2007
"302","Chinstrap","Dream",52,19,197,4150,"male",2007
"303","Chinstrap","Dream",50.5,18.4,200,3400,"female",2008
"304","Chinstrap","Dream",49.5,19,200,3800,"male",2008
"305","Chinstrap","Dream",46.4,17.8,191,3700,"female",2008
"306","Chinstrap","Dream",52.8,20,205,4550,"male",2008
"307","Chinstrap","Dream",40.9,16.6,187,3200,"female",2008
"308","Chinstrap","Dream",54.2,20.8,201,4300,"male",2008
"309","Chinstrap","Dream",42.5,16.7,187,3350,"female",2008
"310","Chinstrap","Dream",51,18.8,203,4100,"male",2008
"311","Chinstrap","Dream",49.7,18.6,195,3600,"male",2008
"312","Chinstrap","Dream",47.5,16.8,199,3900,"female",2008
"313","Chinstrap","Dream",47.6,18.3,195,3850,"female",2008
"314","Chinstrap","Dream",52,20.7,210,4800,"male",2008
"315","Chinstrap","Dream",46.9,16.6,192,2700,"female",2008
"316","Chinstrap","Dream",53.5,19.9,205,4500,"male",2008
"317","Chinstrap","Dream",49,19.5,210,3950,"male",2008
"318","Chinstrap","Dream",46.2,17.5,187,3650,"female",2008
"319","Chinstrap","Dream",50.9,19.1,196,3550,"male",2008
"320","Chinstrap","Dream",45.5,17,196,3500,"female",2008
"321","Chinstrap","Dream",50.9,17.9,196,3675,"female",2009
"322","Chinstrap","Dream",50.8,18.5,201,4450,"male",2009
"323","Chinstrap","Dream",50.1,17.9,190,3400,"female",2009
"324","Chinstrap","Dream",49,19.6,212,4300,"male",2009
"325","Chinstrap","Dream",51.5,18.7,187,3250,"male",2009
"326","Chinstrap","Dream",49.8,17.3,198,3675,"female",2009

